ADD,EPA,District ,Market,Month,Year,Commodity,Price
Kasungu,Chipala,Kasungu,Kasungu,March,2024,Soya beans,750
Kasungu,Chamama,Kasungu,Chamama,March,2024,Soya beans,786.67
Kasungu,Kaluluma,Kasungu,Nkhamenya,March,2024,Soya beans,600
Kasungu,Kaluluma,Kasungu,Chatoloma,March,2024,Soya beans,
Kasungu,Mkanda,Mchinji,Mkanda,March,2024,Soya beans,983.3
Kasungu,Zulu,Mchinji,Mchinji,March,2024,Soya beans,1400
Lilongwe,Chilaza,Lilongwe West,Msundwe,March,2024,Soya beans,
Lilongwe,Demera,Lilongwe West,Kasiya,March,2024,Soya beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,March,2024,Soya beans,1750
Lilongwe,Mitundu,Lilongwe West,Mitundu,March,2024,Soya beans,
Lilongwe,Chitsime,Lilongwe East,Nanjiri,March,2024,Soya beans,900
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,March,2024,Soya beans,
Lilongwe,Lobi,Dedza,Thete,March,2024,Soya beans,
Lilongwe,Mtakataka,Dedza,Mtakataka,March,2024,Soya beans,
Lilongwe,Linthipe,Dedza,Chimbiya,March,2024,Soya beans,1000
Lilongwe,Bembeke,Dedza,Bembeke Turn off,March,2024,Soya beans,587.5
Lilongwe,Njolomole,Ntcheu,Lizulu,March,2024,Soya beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,March,2024,Soya beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,March,2024,Soya beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,March,2024,Soya beans,
Lilongwe,Manjawira,Ntcheu,Ntonda,March,2024,Soya beans,
Machinga,Bazale,Balaka,Balaka,March,2024,Soya beans,1255.73
Machinga,Chikweo,Machinga,Ntaja,March,2024,Soya beans,
Machinga,Mpiya,Machinga,Namwera,March,2024,Soya beans,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,March,2024,Soya beans,2041.1
Machinga,Nasenga,Mangochi,Mangochi,March,2024,Soya beans,2435.3
Machinga,Mtubwi,Machinga,Liwonde,March,2024,Soya beans,1971.41
Machinga,Mpokwa,Zomba,Jali,March,2024,Soya beans,
Machinga,Ngwelero,Zomba,Mayaka,March,2024,Soya beans,
Machinga,Thondwe,Zomba,Zomba,March,2024,Soya beans,
Machinga,Thondwe,Zomba,Thondwe,March,2024,Soya beans,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,March,2024,Soya beans,1212.925
Blantyre,Lunzu,Blantyre,Lunzu,March,2024,Soya beans,
Blantyre,Mtonda,Blantyre,Limbe,March,2024,Soya beans,1606.59
Blantyre,Dwale,Thyolo,Bvumbwe,March,2024,Soya beans,1037.56
Blantyre,Nkhonjeni,Thyolo,Luncheza,March,2024,Soya beans,1700
Blantyre,Mwanza,Mwanza,Mwanza,March,2024,Soya beans,1200
Blantyre,Neno,Neno,Neno,March,2024,Soya beans,1200
Blantyre,Nkhulambe,Phalombe,Chiringa,March,2024,Soya beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,March,2024,Soya beans,780.68
Blantyre,Milonde,Mulanje,Muloza,March,2024,Soya beans,
Shirevalley,Mitole,Chikwawa,Chikhwawa,March,2024,Soya beans,1500
Shirevalley,Mikalango,Chikwawa,Ngabu,March,2024,Soya beans,
Shirevalley,Mbewe,Chikwawa,Nchalo,March,2024,Soya beans,1600
Shirevalley,Magoti,Nsanje,Bangula,March,2024,Soya beans,
Shirevalley,Zunde,Nsanje,Nsanje,March,2024,Soya beans,
Karonga,Misuku,Chitipa,Misuku,April,2024,Soya beans,730.6075
Karonga,Kavukuku,Chitipa,Nthalire,April,2024,Soya beans,
Karonga,Lufita,Chitipa,Chitipa,April,2024,Soya beans,
Karonga,Mpata,Karonga,Karonga,April,2024,Soya beans,
Karonga,Vinthukutu,Karonga,Chilumba,April,2024,Soya beans,
Mzuzu,Bolero,Rumphi,Rumphi,April,2024,Soya beans,
Mzuzu,Katowo,Rumphi,Hewe,April,2024,Soya beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,April,2024,Soya beans,
