ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Lilongwe,Linthipe,Dedza,Chimbiya,February,2024,750.52,750.48,750.55,750.66,,Maize,750.5525
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,2024,720,700,700,710,,Maize,707.5
Lilongwe,Njolomole,Ntcheu,Lizulu,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,2024,,,,,,Maize,#DIV/0!
Lilongwe,Manjawira,Ntcheu,Ntonda,February,2024,,,,,,Maize,#DIV/0!
Machinga,Bazale,Balaka,Balaka,February,2024,800.82,792.45,788.33,800.11,,Maize,795.4275
Machinga,Chikweo,Machinga,Ntaja,February,2024,,,,,,Maize,#DIV/0!
Machinga,Mpiya,Machinga,Namwera,February,2024,850,850,850,850,,Maize,850
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,2024,900,850,900,800,,Maize,862.5
Machinga,Nasenga,Mangochi,Mangochi,February,2024,855,837,850,823,,Maize,841.25
Machinga,Mtubwi,Machinga,Liwonde,February,2024,915.78,876.67,820.8,805.27,,Maize,854.63
Machinga,Mpokwa,Zomba,Jali,February,2024,,,,,,Maize,#DIV/0!
Machinga,Ngwelero,Zomba,Mayaka,February,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Zomba,February,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Thondwe,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,February,2024,800.12,800.01,850.23,900.12,,Maize,837.62
Blantyre,Lunzu,Blantyre,Lunzu,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Mtonda,Blantyre,Limbe,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Dwale,Thyolo,Bvumbwe,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Nkhonjeni,Thyolo,Luncheza,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Mwanza,Mwanza,Mwanza,February,2024,850,864.54,865.34,872.09,,Maize,862.9925
Blantyre,Neno,Neno,Neno,February,2024,900,890,890,890,,Maize,892.5
Blantyre,Nkhulambe,Phalombe,Chiringa,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Naminjiwa,Phalombe,Phalombe,February,2024,,,,,,Maize,#DIV/0!
Blantyre,Milonde,Mulanje,Muloza,February,2024,,,,,,Maize,#DIV/0!
Shirevalley,Mitole,Chikwawa,Chikhwawa,February,2024,808.44,807.07,805.7,804.33,,Maize,806.385
Shirevalley,Mikalango,Chikwawa,Ngabu,February,2024,828.47,813.92,820.34,812.78,,Maize,818.8775
Shirevalley,Mbewe,Chikwawa,Nchalo,February,2024,798.17,791.7,799.83,798.23,,Maize,796.9825
Shirevalley,Magoti,Nsanje,Bangula,February,2024,888.89,866.67,866.67,866.67,,Maize,872.225
Shirevalley,Zunde,Nsanje,Nsanje,February,2024,900.05,890.27,890.46,890.74,,Maize,892.88
Karonga,Misuku,Chitipa,Misuku,March,2024,422.22,429.22,429.78,388.89,,Maize,417.5275
Karonga,Kavukuku,Chitipa,Nthalire,March,2024,,,,,,Maize,#DIV/0!
Karonga,Lufita,Chitipa,Chitipa,March,2024,639.87,639.15,639.16,639.15,,Maize,639.3325
Karonga,Mpata,Karonga,Karonga,March,2024,666.66,500.14,433.33,416.63,,Maize,504.19
Karonga,Vinthukutu,Karonga,Chilumba,March,2024,698.63,694.44,699.53,695.71,,Maize,697.0775
Mzuzu,Bolero,Rumphi,Rumphi,March,2024,821.11,821.18,822.23,822.34,,Maize,821.715
Mzuzu,Katowo,Rumphi,Hewe,March,2024,,,,,,Maize,#DIV/0!
Mzuzu,Emsizini,Mzimba North,Mzuzu,March,2024,,,,,,Maize,#DIV/0!
Mzuzu,Kazomba,Mzimba South,Mzimba,March,2024,585.19,548.15,600,525.93,,Maize,564.8175
Mzuzu,Mbawa,Mzimba South,Embangweni,March,2024,,,,,,Maize,#DIV/0!
Mzuzu,Champhira,Mzimba South,Jenda,March,2024,,,,,,Maize,#DIV/0!
Mzuzu,Mpamba,Nkhata Bay,Mpamba,March,2024,,,,,,Maize,#DIV/0!
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,March,2024,722.22,722.2,722.35,722.49,,Maize,722.315
Mzuzu,Chintheche,Nkhata Bay,Chintheche,March,2024,777.78,777.79,777.81,777.84,,Maize,777.805
Salima,Nkhunga,Nkhotakota,Dwangwa,March,2024,700.45,700,700.13,700,,Maize,700.145
Salima,Linga,Nkhotakota,Nkhotakota,March,2024,,,,,,Maize,#DIV/0!
Salima,Mwansambo,Nkhotakota,Mwansambo,March,2024,,,,,,Maize,#DIV/0!
Salima,Tembwe,Salima,Salima,March,2024,800,800,800,800,,Maize,800
Kasungu,Chikwatula,Ntchisi,Ntchisi,March,2024,,,,,,Maize,#DIV/0!
Kasungu,Malomo,Ntchisi,Malomo,March,2024,,,,,,Maize,#DIV/0!
Kasungu,Nachisaka,Dowa East,Dowa,March,2024,650,650,650,650,,Maize,650
Kasungu,Mponela,Dowa West,Mponela,March,2024,650,650,600,600,600,Maize,625
Kasungu,Madisi,Dowa West,Madisi,March,2024,,,,,,Maize,#DIV/0!
Kasungu,Bowe,Dowa West,Bowe,March,2024,,,,,,Maize,#DIV/0!
Kasungu,Nambuma,Dowa West,Nambuma,March,2024,750,750,750,750,,Maize,750
Kasungu,Santhe,Kasungu,Santhe,March,2024,730,760,700,700,,Maize,722.5
Kasungu,Chipala,Kasungu,Kasungu,March,2024,780,780,780,780,,Maize,780
Kasungu,Chamama,Kasungu,Chamama,March,2024,750,680,700,700,,Maize,707.5
Kasungu,Kaluluma,Kasungu,Nkhamenya,March,2024,600,600,650,650,,Maize,625
Kasungu,Kaluluma,Kasungu,Chatoloma,March,2024,648.91,624.67,618,634.11,,Maize,631.4225
Kasungu,Mkanda,Mchinji,Mkanda,March,2024,,,,,,Maize,#DIV/0!
Kasungu,Zulu,Mchinji,Mchinji,March,2024,766.67,766.67,700,700,,Maize,733.335
Lilongwe,Chilaza,Lilongwe West,Msundwe,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Demera,Lilongwe West,Kasiya,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Chitsime,Lilongwe East,Lilongwe,March,2024,800,750,700,700,,Maize,737.5
Lilongwe,Mitundu,Lilongwe West,Mitundu,March,2024,600,625.21,600.55,606.44,,Maize,608.05
Lilongwe,Chitsime,Lilongwe East,Nanjiri,March,2024,760.44,720,720.21,720.48,,Maize,730.2825
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Lobi,Dedza,Thete,March,2024,700,750,700,600,550,Maize,687.5
Lilongwe,Mtakataka,Dedza,Mtakataka,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Linthipe,Dedza,Chimbiya,March,2024,750.44,750.48,750.39,750.22,,Maize,750.3825
Lilongwe,Bembeke,Dedza,Bembeke Turn off,March,2024,640,620,600,590,,Maize,612.5
Lilongwe,Njolomole,Ntcheu,Lizulu,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,March,2024,,,,,,Maize,#DIV/0!
Lilongwe,Nsipe,Ntcheu,Ntcheu,March,2024,777.78,777.79,777.81,777.84,,Maize,777.805
Lilongwe,Manjawira,Ntcheu,Ntonda,March,2024,,,,,,Maize,#DIV/0!
Machinga,Bazale,Balaka,Balaka,March,2024,800.21,800.76,800.42,800.67,,Maize,800.515
Machinga,Chikweo,Machinga,Ntaja,March,2024,,,,,,Maize,#DIV/0!
Machinga,Mpiya,Machinga,Namwera,March,2024,800,750,700,700,,Maize,737.5
Machinga,Mbwadzulu,Mangochi,Monkey Bay,March,2024,800,750,750,700,,Maize,750
Machinga,Nasenga,Mangochi,Mangochi,March,2024,800,800,750,750,,Maize,775
Machinga,Mtubwi,Machinga,Liwonde,March,2024,820.80,805.27,812.60,805.27,,Maize,810.985
Machinga,Mpokwa,Zomba,Jali,March,2024,,,,,,Maize,#DIV/0!
Machinga,Ngwelero,Zomba,Mayaka,March,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Zomba,March,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Thondwe,March,2024,,,,,,Maize,#DIV/0!
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,March,2024,650.12,700.22,850.23,900.12,,Maize,775.1725
Blantyre,Lunzu,Blantyre,Lunzu,March,2024,,,,,,Maize,#DIV/0!
Blantyre,Mtonda,Blantyre,Limbe,March,2024,772.07,791.11,810.15,829.19,,Maize,800.63
Blantyre,Dwale,Thyolo,Bvumbwe,March,2024,700.24,600.02,600.04,,,Maize,633.4333333
Blantyre,Nkhonjeni,Thyolo,Luncheza,March,2024,750,750,750,750,,Maize,750
Blantyre,Mwanza,Mwanza,Mwanza,March,2024,850,850,850,850,,Maize,850
Blantyre,Neno,Neno,Neno,March,2024,850,800,780,780,,Maize,802.5
Blantyre,Nkhulambe,Phalombe,Chiringa,March,2024,,,,,,Maize,#DIV/0!
Blantyre,Naminjiwa,Phalombe,Phalombe,March,2024,,,,,,Maize,#DIV/0!
Blantyre,Milonde,Mulanje,Muloza,March,2024,626.19,632.54,621.11,642.75,,Maize,630.6475
Shirevalley,Mitole,Chikwawa,Chikhwawa,March,2024,764.89,763.52,762.15,760.78,,Maize,762.835
Shirevalley,Mikalango,Chikwawa,Ngabu,March,2024,784.92,770.37,776.79,769.23,,Maize,775.3275
Shirevalley,Mbewe,Chikwawa,Nchalo,March,2024,754.62,748.15,756.28,754.6766667,,Maize,753.4316667
Shirevalley,Magoti,Nsanje,Bangula,March,2024,888.56,878.18,876.89,866.67,,Maize,877.575
Shirevalley,Zunde,Nsanje,Nsanje,March,2024,580.13,580.2,580.16,600,,Maize,585.1225
Karonga,Misuku,Chitipa,Misuku,April,2024,422.22,429.78,416.67,388.89,,Maize,414.39
Karonga,Kavukuku,Chitipa,Nthalire,April,2024,,,,,,Maize,#DIV/0!
Karonga,Lufita,Chitipa,Chitipa,April,2024,,,,,,Maize,#DIV/0!
Karonga,Mpata,Karonga,Karonga,April,2024,,,,,,Maize,#DIV/0!
Karonga,Vinthukutu,Karonga,Chilumba,April,2024,565.56,568.41,555.56,573.71,569.92,Maize,565.81
Mzuzu,Bolero,Rumphi,Rumphi,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Katowo,Rumphi,Hewe,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Emsizini,Mzimba North,Mzuzu,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Kazomba,Mzimba South,Mzimba,April,2024,629.63,766.67,805.56,525.93,580.2,Maize,681.9475
Mzuzu,Mbawa,Mzimba South,Embangweni,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Champhira,Mzimba South,Jenda,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Mpamba,Nkhata Bay,Mpamba,April,2024,,,,,,Maize,#DIV/0!
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,April,2024,722.22,722.39,722.26,722.26,722.44,Maize,722.2825
Mzuzu,Chintheche,Nkhata Bay,Chintheche,April,2024,666.67,666.69,666.77,666.7,666.74,Maize,666.7075
Salima,Nkhunga,Nkhotakota,Dwangwa,April,2024,600,600,600,600,600,Maize,600
Salima,Linga,Nkhotakota,Nkhotakota,April,2024,,,,,,Maize,#DIV/0!
Salima,Mwansambo,Nkhotakota,Mwansambo,April,2024,,,,,,Maize,#DIV/0!
Salima,Tembwe,Salima,Salima,April,2024,700,700,700,700,700,Maize,700
Kasungu,Chikwatula,Ntchisi,Ntchisi,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Malomo,Ntchisi,Malomo,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Nachisaka,Dowa East,Dowa,April,2024,650,650,650,650,,Maize,650
Kasungu,Mponela,Dowa West,Mponela,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Madisi,Dowa West,Madisi,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Bowe,Dowa West,Bowe,April,2024,300,320,320,350,,Maize,322.5
Kasungu,Nambuma,Dowa West,Nambuma,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Santhe,Kasungu,Santhe,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Chipala,Kasungu,Kasungu,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Chamama,Kasungu,Chamama,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Kaluluma,Kasungu,Nkhamenya,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Kaluluma,Kasungu,Chatoloma,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Mkanda,Mchinji,Mkanda,April,2024,,,,,,Maize,#DIV/0!
Kasungu,Zulu,Mchinji,Mchinji,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Chilaza,Lilongwe West,Msundwe,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Demera,Lilongwe West,Kasiya,April,2024,400,400,450,500,500,Maize,437.5
Lilongwe,Chitsime,Lilongwe East,Lilongwe,April,2024,600,600,600,600,600,Maize,600
Lilongwe,Mitundu,Lilongwe West,Mitundu,April,2024,660.37,600.55,675.2,575,,Maize,627.78
Lilongwe,Chitsime,Lilongwe East,Nanjiri,April,2024,650,650,650,650,650,Maize,650
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,April,2024,600,600,600,600,600,Maize,600
Lilongwe,Lobi,Dedza,Thete,April,2024,,,,,,Maize,#DIV/0!
Lilongwe,Mtakataka,Dedza,Mtakataka,April,2024,,,,,,Maize,#DIV/0!
