ADD,EPA,District ,Market,Month,Commodity,Price
Kasungu,Mkanda,Mchinji,Mkanda,April,Cow peas,
Kasungu,Zulu,Mchinji,Mchinji,April,Cow peas,
Lilongwe,Chilaza,Lilongwe West,Msundwe,April,Cow peas,
Lilongwe,Demera,Lilongwe West,Kasiya,April,Cow peas,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,April,Cow peas,1800
Lilongwe,Mitundu,Lilongwe West,Mitundu,April,Cow peas,1450
Lilongwe,Chitsime,Lilongwe East,Nanjiri,April,Cow peas,
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,April,Cow peas,1480
Lilongwe,Lobi,Dedza,Thete,April,Cow peas,
Lilongwe,Mtakataka,Dedza,Mtakataka,April,Cow peas,
Lilongwe,Linthipe,Dedza,Chimbiya,April,Cow peas,1200.39
Lilongwe,Bembeke,Dedza,Bembeke Turn off,April,Cow peas,
Lilongwe,Njolomole,Ntcheu,Lizulu,April,Cow peas,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,April,Cow peas,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,April,Cow peas,
Lilongwe,Nsipe,Ntcheu,Ntcheu,April,Cow peas,
Lilongwe,Manjawira,Ntcheu,Ntonda,April,Cow peas,
Machinga,Bazale,Balaka,Balaka,April,Cow peas,1527.2325
Machinga,Chikweo,Machinga,Ntaja,April,Cow peas,
Machinga,Mpiya,Machinga,Namwera,April,Cow peas,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,April,Cow peas,
Machinga,Nasenga,Mangochi,Mangochi,April,Cow peas,
Machinga,Mtubwi,Machinga,Liwonde,April,Cow peas,
Machinga,Mpokwa,Zomba,Jali,April,Cow peas,
Machinga,Ngwelero,Zomba,Mayaka,April,Cow peas,
Machinga,Thondwe,Zomba,Zomba,April,Cow peas,
Machinga,Thondwe,Zomba,Thondwe,April,Cow peas,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,April,Cow peas,1525.22
Blantyre,Lunzu,Blantyre,Lunzu,April,Cow peas,1494.98
Blantyre,Mtonda,Blantyre,Limbe,April,Cow peas,
Blantyre,Dwale,Thyolo,Bvumbwe,April,Cow peas,1300
Blantyre,Nkhonjeni,Thyolo,Luncheza,April,Cow peas,900
Blantyre,Mwanza,Mwanza,Mwanza,April,Cow peas,1000
Blantyre,Neno,Neno,Neno,April,Cow peas,1000
Blantyre,Nkhulambe,Phalombe,Chiringa,April,Cow peas,
Blantyre,Naminjiwa,Phalombe,Phalombe,April,Cow peas,
Blantyre,Milonde,Mulanje,Muloza,April,Cow peas,1948.07
Shirevalley,Mitole,Chikwawa,Chikhwawa,April,Cow peas,1257.76
Shirevalley,Mikalango,Chikwawa,Ngabu,April,Cow peas,1274.51
Shirevalley,Mbewe,Chikwawa,Nchalo,April,Cow peas,1340.8675
Shirevalley,Magoti,Nsanje,Bangula,April,Cow peas,
Shirevalley,Zunde,Nsanje,Nsanje,April,Cow peas,
Karonga,Misuku,Chitipa,Misuku,May,Cow peas,
Karonga,Kavukuku,Chitipa,Nthalire,May,Cow peas,
Karonga,Lufita,Chitipa,Chitipa,May,Cow peas,
Karonga,Mpata,Karonga,Karonga,May,Cow peas,1348.12
Karonga,Vinthukutu,Karonga,Chilumba,May,Cow peas,
Mzuzu,Bolero,Rumphi,Rumphi,May,Cow peas,
Mzuzu,Katowo,Rumphi,Hewe,May,Cow peas,
Mzuzu,Emsizini,Mzimba North,Mzuzu,May,Cow peas,
Mzuzu,Kazomba,Mzimba South,Mzimba,May,Cow peas,
Mzuzu,Mbawa,Mzimba South,Embangweni,May,Cow peas,
Mzuzu,Champhira,Mzimba South,Jenda,May,Cow peas,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,May,Cow peas,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,May,Cow peas,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,May,Cow peas,
Salima,Nkhunga,Nkhotakota,Dwangwa,May,Cow peas,2200
Salima,Linga,Nkhotakota,Nkhotakota,May,Cow peas,900
Salima,Mwansambo,Nkhotakota,Mwansambo,May,Cow peas,1600
Salima,Tembwe,Salima,Salima,May,Cow peas,
Kasungu,Chikwatula,Ntchisi,Ntchisi,May,Cow peas,
Kasungu,Malomo,Ntchisi,Malomo,May,Cow peas,
Kasungu,Nachisaka,Dowa East,Dowa,May,Cow peas,1500
Kasungu,Mponela,Dowa West,Mponela,May,Cow peas,
Kasungu,Madisi,Dowa West,Madisi,May,Cow peas,
Kasungu,Bowe,Dowa West,Bowe,May,Cow peas,
Kasungu,Nambuma,Dowa West,Nambuma,May,Cow peas,1200
Kasungu,Santhe,Kasungu,Santhe,May,Cow peas,1000
Kasungu,Chipala,Kasungu,Kasungu,May,Cow peas,
Kasungu,Chamama,Kasungu,Chamama,May,Cow peas,
Kasungu,Kaluluma,Kasungu,Nkhamenya,May,Cow peas,500
Kasungu,Kaluluma,Kasungu,Chatoloma,May,Cow peas,
Kasungu,Mkanda,Mchinji,Mkanda,May,Cow peas,
Kasungu,Zulu,Mchinji,Mchinji,May,Cow peas,
Lilongwe,Chilaza,Lilongwe West,Msundwe,May,Cow peas,2400
Lilongwe,Demera,Lilongwe West,Kasiya,May,Cow peas,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,May,Cow peas,2100
Lilongwe,Mitundu,Lilongwe West,Mitundu,May,Cow peas,1520
Lilongwe,Chitsime,Lilongwe East,Nanjiri,May,Cow peas,1500
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,May,Cow peas,1500
Lilongwe,Lobi,Dedza,Thete,May,Cow peas,
Lilongwe,Mtakataka,Dedza,Mtakataka,May,Cow peas,
Lilongwe,Linthipe,Dedza,Chimbiya,May,Cow peas,1328.224
Lilongwe,Bembeke,Dedza,Bembeke Turn off,May,Cow peas,937.8
Lilongwe,Njolomole,Ntcheu,Lizulu,May,Cow peas,1900
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,May,Cow peas,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,May,Cow peas,
Lilongwe,Nsipe,Ntcheu,Ntcheu,May,Cow peas,
Lilongwe,Manjawira,Ntcheu,Ntonda,May,Cow peas,
Machinga,Bazale,Balaka,Balaka,May,Cow peas,1351.79
Machinga,Chikweo,Machinga,Ntaja,May,Cow peas,
Machinga,Mpiya,Machinga,Namwera,May,Cow peas,2001.67
Machinga,Mbwadzulu,Mangochi,Monkey Bay,May,Cow peas,2173.266
Machinga,Nasenga,Mangochi,Mangochi,May,Cow peas,2027.64
Machinga,Mtubwi,Machinga,Liwonde,May,Cow peas,
Machinga,Mpokwa,Zomba,Jali,May,Cow peas,1280.8
Machinga,Ngwelero,Zomba,Mayaka,May,Cow peas,1500.45
Machinga,Thondwe,Zomba,Zomba,May,Cow peas,1450.8
Machinga,Thondwe,Zomba,Thondwe,May,Cow peas,1200.98
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,May,Cow peas,1525.23
Blantyre,Lunzu,Blantyre,Lunzu,May,Cow peas,1580.26
Blantyre,Mtonda,Blantyre,Limbe,May,Cow peas,
Blantyre,Dwale,Thyolo,Bvumbwe,May,Cow peas,
Blantyre,Nkhonjeni,Thyolo,Luncheza,May,Cow peas,1400
Blantyre,Mwanza,Mwanza,Mwanza,May,Cow peas,1000
Blantyre,Neno,Neno,Neno,May,Cow peas,1000
Blantyre,Nkhulambe,Phalombe,Chiringa,May,Cow peas,
Blantyre,Naminjiwa,Phalombe,Phalombe,May,Cow peas,
Blantyre,Milonde,Mulanje,Muloza,May,Cow peas,
Shirevalley,Mitole,Chikwawa,Chikhwawa,May,Cow peas,964.4346667
Shirevalley,Mikalango,Chikwawa,Ngabu,May,Cow peas,1014.16
Shirevalley,Mbewe,Chikwawa,Nchalo,May,Cow peas,980.468
Shirevalley,Magoti,Nsanje,Bangula,May,Cow peas,
Shirevalley,Zunde,Nsanje,Nsanje,May,Cow peas,1200.2625
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
